period,red1,red2,red3,red4,red5,red6,blue,red_numbers,full_number,red_sum
2009011,2,4,13,14,18,23,15,2 4 13 14 18 23,2 4 13 14 18 23 + 15,74
2009012,5,11,14,17,18,28,1,5 11 14 17 18 28,5 11 14 17 18 28 + 1,93
2009013,4,8,9,21,26,27,9,4 8 9 21 26 27,4 8 9 21 26 27 + 9,95
2009014,3,6,9,14,15,18,2,3 6 9 14 15 18,3 6 9 14 15 18 + 2,65
2009015,2,4,6,15,17,32,5,2 4 6 15 17 32,2 4 6 15 17 32 + 5,76
2009016,2,7,13,16,20,33,3,2 7 13 16 20 33,2 7 13 16 20 33 + 3,91
2009017,6,14,15,19,25,26,8,6 14 15 19 25 26,6 14 15 19 25 26 + 8,105
2009018,2,5,6,19,27,30,15,2 5 6 19 27 30,2 5 6 19 27 30 + 15,89
2009019,6,17,19,20,26,27,4,6 17 19 20 26 27,6 17 19 20 26 27 + 4,115
2009020,3,5,7,10,19,23,13,3 5 7 10 19 23,3 5 7 10 19 23 + 13,67
2009021,1,4,5,17,24,27,9,1 4 5 17 24 27,1 4 5 17 24 27 + 9,78
2009022,5,8,9,10,11,18,8,5 8 9 10 11 18,5 8 9 10 11 18 + 8,61
2009023,1,6,7,15,24,30,8,1 6 7 15 24 30,1 6 7 15 24 30 + 8,83
2009024,1,3,17,23,30,33,12,1 3 17 23 30 33,1 3 17 23 30 33 + 12,107
2009025,10,20,22,23,26,33,11,10 20 22 23 26 33,10 20 22 23 26 33 + 11,134
2009026,11,15,17,18,20,30,16,11 15 17 18 20 30,11 15 17 18 20 30 + 16,111
2009027,2,7,11,16,27,32,6,2 7 11 16 27 32,2 7 11 16 27 32 + 6,95
2009028,3,6,12,15,23,26,10,3 6 12 15 23 26,3 6 12 15 23 26 + 10,85
2009029,12,13,15,22,23,29,13,12 13 15 22 23 29,12 13 15 22 23 29 + 13,114
2009030,8,14,24,26,28,32,7,8 14 24 26 28 32,8 14 24 26 28 32 + 7,132
2009031,1,2,3,15,30,33,1,1 2 3 15 30 33,1 2 3 15 30 33 + 1,84
2009032,9,11,12,19,27,32,6,9 11 12 19 27 32,9 11 12 19 27 32 + 6,110
2009033,7,8,13,14,29,30,6,7 8 13 14 29 30,7 8 13 14 29 30 + 6,101
2009034,9,12,18,21,22,26,7,9 12 18 21 22 26,9 12 18 21 22 26 + 7,108
2009035,6,15,21,26,29,31,5,6 15 21 26 29 31,6 15 21 26 29 31 + 5,128
2009036,6,9,18,23,32,33,7,6 9 18 23 32 33,6 9 18 23 32 33 + 7,121
2009037,2,6,15,18,20,31,3,2 6 15 18 20 31,2 6 15 18 20 31 + 3,92
2009038,12,13,15,23,28,32,5,12 13 15 23 28 32,12 13 15 23 28 32 + 5,123
2009039,5,12,14,15,21,27,3,5 12 14 15 21 27,5 12 14 15 21 27 + 3,94
2009040,4,7,10,20,26,30,12,4 7 10 20 26 30,4 7 10 20 26 30 + 12,97
2009041,1,8,23,26,28,33,8,1 8 23 26 28 33,1 8 23 26 28 33 + 8,119
2009042,8,16,22,23,27,30,11,8 16 22 23 27 30,8 16 22 23 27 30 + 11,126
2009043,4,9,10,15,18,26,7,4 9 10 15 18 26,4 9 10 15 18 26 + 7,82
2009044,11,14,16,18,26,30,1,11 14 16 18 26 30,11 14 16 18 26 30 + 1,115
2009045,3,4,6,23,30,32,1,3 4 6 23 30 32,3 4 6 23 30 32 + 1,98
2009046,16,20,21,26,29,30,9,16 20 21 26 29 30,16 20 21 26 29 30 + 9,142
2009047,6,8,11,15,21,22,16,6 8 11 15 21 22,6 8 11 15 21 22 + 16,83
2009048,3,7,11,15,17,31,1,3 7 11 15 17 31,3 7 11 15 17 31 + 1,84
2009049,9,12,14,20,30,31,6,9 12 14 20 30 31,9 12 14 20 30 31 + 6,116
2009050,13,21,24,29,30,32,4,13 21 24 29 30 32,13 21 24 29 30 32 + 4,149
2009051,6,10,13,16,21,23,7,6 10 13 16 21 23,6 10 13 16 21 23 + 7,89
2009052,9,11,15,19,21,30,8,9 11 15 19 21 30,9 11 15 19 21 30 + 8,105
2009053,7,12,18,19,22,28,4,7 12 18 19 22 28,7 12 18 19 22 28 + 4,106
2009054,16,17,23,26,31,32,11,16 17 23 26 31 32,16 17 23 26 31 32 + 11,145
2009055,3,4,18,22,24,29,11,3 4 18 22 24 29,3 4 18 22 24 29 + 11,100
2009056,4,9,10,18,29,32,8,4 9 10 18 29 32,4 9 10 18 29 32 + 8,102
2009057,5,7,10,14,17,25,11,5 7 10 14 17 25,5 7 10 14 17 25 + 11,78
2009058,5,8,10,15,23,26,9,5 8 10 15 23 26,5 8 10 15 23 26 + 9,87
2009059,3,7,13,23,27,30,11,3 7 13 23 27 30,3 7 13 23 27 30 + 11,103
2009060,7,13,17,26,32,33,4,7 13 17 26 32 33,7 13 17 26 32 33 + 4,128
2009061,10,11,13,16,19,30,3,10 11 13 16 19 30,10 11 13 16 19 30 + 3,99
2009062,10,19,20,21,23,32,10,10 19 20 21 23 32,10 19 20 21 23 32 + 10,125
2009063,2,5,11,26,30,32,16,2 5 11 26 30 32,2 5 11 26 30 32 + 16,106
2009064,1,2,14,23,28,29,15,1 2 14 23 28 29,1 2 14 23 28 29 + 15,97
2009065,8,12,20,22,30,33,2,8 12 20 22 30 33,8 12 20 22 30 33 + 2,125
2009066,2,15,19,24,31,32,4,2 15 19 24 31 32,2 15 19 24 31 32 + 4,123
2009067,4,10,16,23,28,30,5,4 10 16 23 28 30,4 10 16 23 28 30 + 5,111
2009068,6,11,18,20,25,30,5,6 11 18 20 25 30,6 11 18 20 25 30 + 5,110
2009069,3,5,12,18,21,23,2,3 5 12 18 21 23,3 5 12 18 21 23 + 2,82
2009070,1,2,9,10,21,31,10,1 2 9 10 21 31,1 2 9 10 21 31 + 10,74
2009071,4,5,23,26,31,32,6,4 5 23 26 31 32,4 5 23 26 31 32 + 6,121
2009072,1,3,12,20,21,29,4,1 3 12 20 21 29,1 3 12 20 21 29 + 4,86
2009073,9,16,17,18,22,27,14,9 16 17 18 22 27,9 16 17 18 22 27 + 14,109
2009074,5,10,16,19,23,28,13,5 10 16 19 23 28,5 10 16 19 23 28 + 13,101
2009075,1,13,15,17,20,30,5,1 13 15 17 20 30,1 13 15 17 20 30 + 5,96
2009076,9,18,19,25,28,31,6,9 18 19 25 28 31,9 18 19 25 28 31 + 6,130
2009077,1,9,14,16,28,32,16,1 9 14 16 28 32,1 9 14 16 28 32 + 16,100
2009078,5,7,12,14,15,20,13,5 7 12 14 15 20,5 7 12 14 15 20 + 13,73
2009079,2,9,16,21,30,31,13,2 9 16 21 30 31,2 9 16 21 30 31 + 13,109
2009080,1,11,13,25,32,33,6,1 11 13 25 32 33,1 11 13 25 32 33 + 6,115
2009081,4,5,6,25,29,30,3,4 5 6 25 29 30,4 5 6 25 29 30 + 3,99
2009082,11,15,18,21,27,29,2,11 15 18 21 27 29,11 15 18 21 27 29 + 2,121
2009083,2,8,12,18,24,28,4,2 8 12 18 24 28,2 8 12 18 24 28 + 4,92
2009084,4,9,11,20,32,33,13,4 9 11 20 32 33,4 9 11 20 32 33 + 13,109
2009085,4,8,12,17,20,30,3,4 8 12 17 20 30,4 8 12 17 20 30 + 3,91
2009086,11,12,13,18,23,32,11,11 12 13 18 23 32,11 12 13 18 23 32 + 11,109
2009087,6,11,13,20,28,32,6,6 11 13 20 28 32,6 11 13 20 28 32 + 6,110
2009088,4,7,11,15,16,17,2,4 7 11 15 16 17,4 7 11 15 16 17 + 2,70
2009089,2,3,7,11,19,32,4,2 3 7 11 19 32,2 3 7 11 19 32 + 4,74
2009090,7,9,14,20,23,30,14,7 9 14 20 23 30,7 9 14 20 23 30 + 14,103
2009091,3,8,11,14,25,29,4,3 8 11 14 25 29,3 8 11 14 25 29 + 4,90
2009092,2,6,7,14,18,31,8,2 6 7 14 18 31,2 6 7 14 18 31 + 8,78
2009093,1,11,20,31,32,33,1,1 11 20 31 32 33,1 11 20 31 32 33 + 1,128
2009094,3,16,22,25,26,33,14,3 16 22 25 26 33,3 16 22 25 26 33 + 14,125
2009095,8,9,14,28,31,33,15,8 9 14 28 31 33,8 9 14 28 31 33 + 15,123
2009096,1,26,27,31,32,33,3,1 26 27 31 32 33,1 26 27 31 32 33 + 3,150
2009097,7,13,24,26,28,32,14,7 13 24 26 28 32,7 13 24 26 28 32 + 14,130
2009098,3,14,15,20,23,30,2,3 14 15 20 23 30,3 14 15 20 23 30 + 2,105
2009099,8,9,18,20,25,29,9,8 9 18 20 25 29,8 9 18 20 25 29 + 9,109
2009100,2,11,17,27,30,33,11,2 11 17 27 30 33,2 11 17 27 30 33 + 11,120
2009101,1,2,5,10,19,24,14,1 2 5 10 19 24,1 2 5 10 19 24 + 14,61
2009102,3,5,7,8,14,31,10,3 5 7 8 14 31,3 5 7 8 14 31 + 10,68
2009103,6,11,17,20,23,24,9,6 11 17 20 23 24,6 11 17 20 23 24 + 9,101
2009104,20,22,26,29,30,32,16,20 22 26 29 30 32,20 22 26 29 30 32 + 16,159
2009105,2,8,10,16,27,30,15,2 8 10 16 27 30,2 8 10 16 27 30 + 15,93
2009106,1,2,15,18,20,29,4,1 2 15 18 20 29,1 2 15 18 20 29 + 4,85
2009107,7,8,20,23,28,29,5,7 8 20 23 28 29,7 8 20 23 28 29 + 5,115
2009108,4,10,17,28,32,33,2,4 10 17 28 32 33,4 10 17 28 32 33 + 2,124
2009109,5,6,7,14,25,28,1,5 6 7 14 25 28,5 6 7 14 25 28 + 1,85
2009110,4,10,13,15,19,30,14,4 10 13 15 19 30,4 10 13 15 19 30 + 14,91
2009111,2,4,7,14,15,25,15,2 4 7 14 15 25,2 4 7 14 15 25 + 15,67
2009112,6,7,18,24,30,32,9,6 7 18 24 30 32,6 7 18 24 30 32 + 9,117
2009113,4,12,20,25,28,29,16,4 12 20 25 28 29,4 12 20 25 28 29 + 16,118
2009114,3,5,11,12,31,32,11,3 5 11 12 31 32,3 5 11 12 31 32 + 11,94
2009115,2,9,13,15,19,24,3,2 9 13 15 19 24,2 9 13 15 19 24 + 3,82
2009116,5,17,21,25,27,32,14,5 17 21 25 27 32,5 17 21 25 27 32 + 14,127
2009117,5,9,15,21,26,31,13,5 9 15 21 26 31,5 9 15 21 26 31 + 13,107
2009118,12,16,25,26,27,31,5,12 16 25 26 27 31,12 16 25 26 27 31 + 5,137
2009119,6,7,10,12,15,21,5,6 7 10 12 15 21,6 7 10 12 15 21 + 5,71
2009120,1,2,8,12,16,30,16,1 2 8 12 16 30,1 2 8 12 16 30 + 16,69
2009121,2,4,6,10,25,30,9,2 4 6 10 25 30,2 4 6 10 25 30 + 9,77
2009122,7,14,16,27,29,32,1,7 14 16 27 29 32,7 14 16 27 29 32 + 1,125
2009123,9,13,20,22,25,28,14,9 13 20 22 25 28,9 13 20 22 25 28 + 14,117
2009124,3,4,22,23,28,30,10,3 4 22 23 28 30,3 4 22 23 28 30 + 10,110
2009125,6,7,8,22,26,27,12,6 7 8 22 26 27,6 7 8 22 26 27 + 12,96
2009126,3,5,6,10,19,23,15,3 5 6 10 19 23,3 5 6 10 19 23 + 15,66
2009127,2,11,12,14,15,16,4,2 11 12 14 15 16,2 11 12 14 15 16 + 4,70
2009128,5,8,15,16,26,32,1,5 8 15 16 26 32,5 8 15 16 26 32 + 1,102
2009129,6,7,16,17,24,25,7,6 7 16 17 24 25,6 7 16 17 24 25 + 7,95
2009130,2,3,7,12,13,30,11,2 3 7 12 13 30,2 3 7 12 13 30 + 11,67
2009131,16,23,25,26,32,33,5,16 23 25 26 32 33,16 23 25 26 32 33 + 5,155
2009132,4,14,15,21,23,30,7,4 14 15 21 23 30,4 14 15 21 23 30 + 7,107
2009133,5,9,13,18,20,32,1,5 9 13 18 20 32,5 9 13 18 20 32 + 1,97
2009134,3,5,12,15,28,33,6,3 5 12 15 28 33,3 5 12 15 28 33 + 6,96
2009135,1,3,14,19,30,33,16,1 3 14 19 30 33,1 3 14 19 30 33 + 16,100
2009136,1,4,14,22,30,33,1,1 4 14 22 30 33,1 4 14 22 30 33 + 1,104
2009137,8,12,14,15,17,21,1,8 12 14 15 17 21,8 12 14 15 17 21 + 1,87
2009138,4,7,14,26,32,33,14,4 7 14 26 32 33,4 7 14 26 32 33 + 14,116
2009139,1,5,15,17,27,29,2,1 5 15 17 27 29,1 5 15 17 27 29 + 2,94
2009140,4,5,11,18,22,33,12,4 5 11 18 22 33,4 5 11 18 22 33 + 12,93
2009141,2,13,21,28,29,31,9,2 13 21 28 29 31,2 13 21 28 29 31 + 9,124
2009142,7,11,15,19,20,24,13,7 11 15 19 20 24,7 11 15 19 20 24 + 13,96
2009143,5,9,11,17,23,28,10,5 9 11 17 23 28,5 9 11 17 23 28 + 10,93
2009144,1,5,10,17,18,29,12,1 5 10 17 18 29,1 5 10 17 18 29 + 12,80
2009145,3,5,11,15,26,33,11,3 5 11 15 26 33,3 5 11 15 26 33 + 11,93
2009146,3,9,16,20,22,33,15,3 9 16 20 22 33,3 9 16 20 22 33 + 15,103
2009147,6,8,10,18,22,32,16,6 8 10 18 22 32,6 8 10 18 22 32 + 16,96
2009148,6,12,15,22,29,32,10,6 12 15 22 29 32,6 12 15 22 29 32 + 10,116
2009149,1,3,16,18,22,29,4,1 3 16 18 22 29,1 3 16 18 22 29 + 4,89
2009150,4,6,7,16,19,20,4,4 6 7 16 19 20,4 6 7 16 19 20 + 4,72
2009151,6,8,10,16,25,30,14,6 8 10 16 25 30,6 8 10 16 25 30 + 14,95
2009152,3,4,19,21,27,28,5,3 4 19 21 27 28,3 4 19 21 27 28 + 5,102
2009153,6,7,8,20,21,25,10,6 7 8 20 21 25,6 7 8 20 21 25 + 10,87
2009154,1,7,12,14,18,25,16,1 7 12 14 18 25,1 7 12 14 18 25 + 16,77
2010001,7,17,18,27,29,32,13,7 17 18 27 29 32,7 17 18 27 29 32 + 13,130
2010002,3,6,7,23,30,33,13,3 6 7 23 30 33,3 6 7 23 30 33 + 13,102
2010003,14,22,26,27,28,31,4,14 22 26 27 28 31,14 22 26 27 28 31 + 4,148
2010004,1,12,13,16,23,28,7,1 12 13 16 23 28,1 12 13 16 23 28 + 7,93
2010005,3,5,6,8,17,18,14,3 5 6 8 17 18,3 5 6 8 17 18 + 14,57
2010006,3,5,7,13,14,18,5,3 5 7 13 14 18,3 5 7 13 14 18 + 5,60
2010007,14,22,27,28,30,33,14,14 22 27 28 30 33,14 22 27 28 30 33 + 14,154
2010008,5,7,13,15,18,30,14,5 7 13 15 18 30,5 7 13 15 18 30 + 14,88
2010009,1,9,13,21,24,32,6,1 9 13 21 24 32,1 9 13 21 24 32 + 6,100
2010010,7,8,12,15,22,26,8,7 8 12 15 22 26,7 8 12 15 22 26 + 8,90
2010011,7,8,14,22,24,30,7,7 8 14 22 24 30,7 8 14 22 24 30 + 7,105
2010012,2,8,13,14,25,33,10,2 8 13 14 25 33,2 8 13 14 25 33 + 10,95
2010013,1,2,3,16,18,23,12,1 2 3 16 18 23,1 2 3 16 18 23 + 12,63
2010014,1,3,7,14,26,28,2,1 3 7 14 26 28,1 3 7 14 26 28 + 2,79
2010015,1,4,16,21,23,28,6,1 4 16 21 23 28,1 4 16 21 23 28 + 6,93
2010016,2,8,10,12,30,33,16,2 8 10 12 30 33,2 8 10 12 30 33 + 16,95
2010017,1,3,6,11,12,23,11,1 3 6 11 12 23,1 3 6 11 12 23 + 11,56
2010018,11,28,29,30,32,33,2,11 28 29 30 32 33,11 28 29 30 32 33 + 2,163
2010019,2,10,22,24,26,27,6,2 10 22 24 26 27,2 10 22 24 26 27 + 6,111
2010020,5,6,14,22,24,26,9,5 6 14 22 24 26,5 6 14 22 24 26 + 9,97
2010021,2,9,16,17,19,25,4,2 9 16 17 19 25,2 9 16 17 19 25 + 4,88
2010022,1,2,18,29,31,32,2,1 2 18 29 31 32,1 2 18 29 31 32 + 2,113
2010023,2,9,11,22,24,27,11,2 9 11 22 24 27,2 9 11 22 24 27 + 11,95
2010024,7,16,26,27,29,31,14,7 16 26 27 29 31,7 16 26 27 29 31 + 14,136
2010025,4,5,7,10,13,25,11,4 5 7 10 13 25,4 5 7 10 13 25 + 11,64
2010026,2,4,5,8,19,22,12,2 4 5 8 19 22,2 4 5 8 19 22 + 12,60
2010027,3,4,15,25,26,30,13,3 4 15 25 26 30,3 4 15 25 26 30 + 13,103
2010028,1,3,6,12,16,32,12,1 3 6 12 16 32,1 3 6 12 16 32 + 12,70
2010029,1,5,14,16,17,22,3,1 5 14 16 17 22,1 5 14 16 17 22 + 3,75
2010030,3,6,10,16,25,31,5,3 6 10 16 25 31,3 6 10 16 25 31 + 5,91
2010031,5,7,13,24,25,28,4,5 7 13 24 25 28,5 7 13 24 25 28 + 4,102
2010032,8,18,21,28,29,33,8,8 18 21 28 29 33,8 18 21 28 29 33 + 8,137
2010033,8,10,11,12,25,29,9,8 10 11 12 25 29,8 10 11 12 25 29 + 9,95
2010034,6,11,13,22,25,32,12,6 11 13 22 25 32,6 11 13 22 25 32 + 12,109
2010035,9,10,11,18,19,21,10,9 10 11 18 19 21,9 10 11 18 19 21 + 10,88
2010036,6,13,14,28,29,30,8,6 13 14 28 29 30,6 13 14 28 29 30 + 8,120
2010037,3,16,19,21,24,26,6,3 16 19 21 24 26,3 16 19 21 24 26 + 6,109
2010038,1,6,7,11,13,16,1,1 6 7 11 13 16,1 6 7 11 13 16 + 1,54
2010039,8,17,21,23,25,32,12,8 17 21 23 25 32,8 17 21 23 25 32 + 12,126
2010040,12,19,24,25,30,32,11,12 19 24 25 30 32,12 19 24 25 30 32 + 11,142
2010041,3,5,13,19,25,29,12,3 5 13 19 25 29,3 5 13 19 25 29 + 12,94
2010042,3,6,11,20,31,32,10,3 6 11 20 31 32,3 6 11 20 31 32 + 10,103
2010043,4,10,19,22,28,33,4,4 10 19 22 28 33,4 10 19 22 28 33 + 4,116
2010044,3,9,21,23,27,31,5,3 9 21 23 27 31,3 9 21 23 27 31 + 5,114
2010045,2,3,4,13,20,29,1,2 3 4 13 20 29,2 3 4 13 20 29 + 1,71
2010046,11,12,21,23,27,32,5,11 12 21 23 27 32,11 12 21 23 27 32 + 5,126
2010047,3,10,13,20,21,32,15,3 10 13 20 21 32,3 10 13 20 21 32 + 15,99
2010048,1,6,8,10,23,33,2,1 6 8 10 23 33,1 6 8 10 23 33 + 2,81
2010049,1,6,10,26,27,28,2,1 6 10 26 27 28,1 6 10 26 27 28 + 2,98
2010050,7,21,22,26,28,30,11,7 21 22 26 28 30,7 21 22 26 28 30 + 11,134
2010051,4,17,23,27,28,32,3,4 17 23 27 28 32,4 17 23 27 28 32 + 3,131
2010052,1,2,19,23,27,29,10,1 2 19 23 27 29,1 2 19 23 27 29 + 10,101
2010053,3,22,24,27,28,30,14,3 22 24 27 28 30,3 22 24 27 28 30 + 14,134
2010054,1,6,8,12,14,25,6,1 6 8 12 14 25,1 6 8 12 14 25 + 6,66
2010055,2,3,13,19,20,23,8,2 3 13 19 20 23,2 3 13 19 20 23 + 8,80
2010056,1,2,3,8,13,32,7,1 2 3 8 13 32,1 2 3 8 13 32 + 7,59
2010057,5,11,12,19,25,32,5,5 11 12 19 25 32,5 11 12 19 25 32 + 5,104
2010058,1,4,11,17,19,29,12,1 4 11 17 19 29,1 4 11 17 19 29 + 12,81
2010059,1,9,11,12,18,30,10,1 9 11 12 18 30,1 9 11 12 18 30 + 10,81
2010060,1,8,15,18,22,27,9,1 8 15 18 22 27,1 8 15 18 22 27 + 9,91
2010061,2,4,16,19,22,26,12,2 4 16 19 22 26,2 4 16 19 22 26 + 12,89
2010062,11,13,15,20,31,33,3,11 13 15 20 31 33,11 13 15 20 31 33 + 3,123
2010063,2,6,10,17,23,24,3,2 6 10 17 23 24,2 6 10 17 23 24 + 3,82
2010064,8,14,25,26,30,31,11,8 14 25 26 30 31,8 14 25 26 30 31 + 11,134
2010065,2,7,8,17,30,32,12,2 7 8 17 30 32,2 7 8 17 30 32 + 12,96
2010066,1,3,21,22,31,32,7,1 3 21 22 31 32,1 3 21 22 31 32 + 7,110
2010067,1,7,10,14,21,25,1,1 7 10 14 21 25,1 7 10 14 21 25 + 1,78
2010068,3,13,18,20,23,28,13,3 13 18 20 23 28,3 13 18 20 23 28 + 13,105
2010069,12,14,20,22,24,32,11,12 14 20 22 24 32,12 14 20 22 24 32 + 11,124
2010070,8,13,23,27,31,33,7,8 13 23 27 31 33,8 13 23 27 31 33 + 7,135
2010071,5,13,14,17,20,26,1,5 13 14 17 20 26,5 13 14 17 20 26 + 1,95
2010072,6,8,22,23,30,31,1,6 8 22 23 30 31,6 8 22 23 30 31 + 1,120
2010073,1,16,20,23,27,31,2,1 16 20 23 27 31,1 16 20 23 27 31 + 2,118
2010074,2,10,17,18,19,29,15,2 10 17 18 19 29,2 10 17 18 19 29 + 15,95
2010075,5,9,12,13,15,22,14,5 9 12 13 15 22,5 9 12 13 15 22 + 14,76
2010076,1,12,14,29,31,32,15,1 12 14 29 31 32,1 12 14 29 31 32 + 15,119
2010077,2,8,14,20,21,24,9,2 8 14 20 21 24,2 8 14 20 21 24 + 9,89
2010078,1,3,9,11,17,23,12,1 3 9 11 17 23,1 3 9 11 17 23 + 12,64
2010079,8,11,12,14,18,22,2,8 11 12 14 18 22,8 11 12 14 18 22 + 2,85
2010080,8,10,13,14,16,23,16,8 10 13 14 16 23,8 10 13 14 16 23 + 16,84
2010081,2,3,9,24,26,27,5,2 3 9 24 26 27,2 3 9 24 26 27 + 5,91
2010082,1,8,13,14,27,31,2,1 8 13 14 27 31,1 8 13 14 27 31 + 2,94
2010083,2,20,21,22,23,31,12,2 20 21 22 23 31,2 20 21 22 23 31 + 12,119
2010084,2,10,14,18,20,30,3,2 10 14 18 20 30,2 10 14 18 20 30 + 3,94
2010085,1,8,12,13,24,27,8,1 8 12 13 24 27,1 8 12 13 24 27 + 8,85
2010086,5,21,28,29,30,31,8,5 21 28 29 30 31,5 21 28 29 30 31 + 8,144
2010087,1,8,16,17,25,30,10,1 8 16 17 25 30,1 8 16 17 25 30 + 10,97
2010088,5,6,15,23,27,30,12,5 6 15 23 27 30,5 6 15 23 27 30 + 12,106
2010089,7,8,9,16,23,26,1,7 8 9 16 23 26,7 8 9 16 23 26 + 1,89
2010090,1,6,10,15,25,31,14,1 6 10 15 25 31,1 6 10 15 25 31 + 14,88
2010091,6,13,16,20,22,24,16,6 13 16 20 22 24,6 13 16 20 22 24 + 16,101
2010092,3,13,19,27,28,30,2,3 13 19 27 28 30,3 13 19 27 28 30 + 2,120
2010093,9,10,19,28,32,33,6,9 10 19 28 32 33,9 10 19 28 32 33 + 6,131
2010094,3,5,7,27,31,32,10,3 5 7 27 31 32,3 5 7 27 31 32 + 10,105
2010095,9,11,16,17,25,27,14,9 11 16 17 25 27,9 11 16 17 25 27 + 14,105
2010096,7,12,21,23,24,28,3,7 12 21 23 24 28,7 12 21 23 24 28 + 3,115
2010097,10,16,18,21,24,26,1,10 16 18 21 24 26,10 16 18 21 24 26 + 1,115
2010098,1,3,8,16,29,33,7,1 3 8 16 29 33,1 3 8 16 29 33 + 7,90
2010099,3,4,17,24,27,30,6,3 4 17 24 27 30,3 4 17 24 27 30 + 6,105
2010100,1,6,12,22,23,26,8,1 6 12 22 23 26,1 6 12 22 23 26 + 8,90
2010101,4,9,18,21,25,26,6,4 9 18 21 25 26,4 9 18 21 25 26 + 6,103
2010102,4,11,16,20,22,29,10,4 11 16 20 22 29,4 11 16 20 22 29 + 10,102
2010103,6,9,14,17,20,33,9,6 9 14 17 20 33,6 9 14 17 20 33 + 9,99
2010104,7,17,23,24,27,32,2,7 17 23 24 27 32,7 17 23 24 27 32 + 2,130
2010105,1,8,9,19,21,31,11,1 8 9 19 21 31,1 8 9 19 21 31 + 11,89
2010106,2,6,8,15,26,29,16,2 6 8 15 26 29,2 6 8 15 26 29 + 16,86
2010107,8,12,15,17,22,33,16,8 12 15 17 22 33,8 12 15 17 22 33 + 16,107
2010108,2,4,8,20,23,24,7,2 4 8 20 23 24,2 4 8 20 23 24 + 7,81
2010109,4,15,18,25,29,32,15,4 15 18 25 29 32,4 15 18 25 29 32 + 15,123
2010110,1,3,12,24,26,27,1,1 3 12 24 26 27,1 3 12 24 26 27 + 1,93
2010111,4,7,8,13,17,18,10,4 7 8 13 17 18,4 7 8 13 17 18 + 10,67
2010112,1,8,18,24,29,30,16,1 8 18 24 29 30,1 8 18 24 29 30 + 16,110
2010113,5,10,15,18,20,28,10,5 10 15 18 20 28,5 10 15 18 20 28 + 10,96
2010114,1,8,11,15,17,25,1,1 8 11 15 17 25,1 8 11 15 17 25 + 1,77
2010115,1,22,24,25,29,33,15,1 22 24 25 29 33,1 22 24 25 29 33 + 15,134
2010116,5,9,10,20,22,26,7,5 9 10 20 22 26,5 9 10 20 22 26 + 7,92
2010117,1,8,20,22,24,28,1,1 8 20 22 24 28,1 8 20 22 24 28 + 1,103
2010118,5,8,11,13,15,25,5,5 8 11 13 15 25,5 8 11 13 15 25 + 5,77
2010119,7,17,25,27,30,31,9,7 17 25 27 30 31,7 17 25 27 30 31 + 9,137
2010120,1,2,5,6,10,29,16,1 2 5 6 10 29,1 2 5 6 10 29 + 16,53
2010121,8,11,13,18,25,30,15,8 11 13 18 25 30,8 11 13 18 25 30 + 15,105
2010122,2,9,12,16,25,27,6,2 9 12 16 25 27,2 9 12 16 25 27 + 6,91
2010123,6,12,15,18,29,32,10,6 12 15 18 29 32,6 12 15 18 29 32 + 10,112
2010124,2,6,8,11,12,25,2,2 6 8 11 12 25,2 6 8 11 12 25 + 2,64
2010125,6,7,13,23,28,29,9,6 7 13 23 28 29,6 7 13 23 28 29 + 9,106
2010126,3,13,18,20,27,28,5,3 13 18 20 27 28,3 13 18 20 27 28 + 5,109
2010127,1,4,8,17,25,33,1,1 4 8 17 25 33,1 4 8 17 25 33 + 1,88
2010128,4,11,19,20,24,28,12,4 11 19 20 24 28,4 11 19 20 24 28 + 12,106
2010129,4,8,14,25,28,32,16,4 8 14 25 28 32,4 8 14 25 28 32 + 16,111
2010130,1,2,7,15,21,31,16,1 2 7 15 21 31,1 2 7 15 21 31 + 16,77
2010131,5,6,15,16,19,26,6,5 6 15 16 19 26,5 6 15 16 19 26 + 6,87
2010132,2,10,12,18,24,33,15,2 10 12 18 24 33,2 10 12 18 24 33 + 15,99
2010133,3,9,17,21,26,32,1,3 9 17 21 26 32,3 9 17 21 26 32 + 1,108
2010134,9,15,16,22,27,28,6,9 15 16 22 27 28,9 15 16 22 27 28 + 6,117
2010135,4,10,13,25,26,30,10,4 10 13 25 26 30,4 10 13 25 26 30 + 10,108
2010136,4,10,23,24,26,33,10,4 10 23 24 26 33,4 10 23 24 26 33 + 10,120
2010137,7,9,10,13,19,33,6,7 9 10 13 19 33,7 9 10 13 19 33 + 6,91
2010138,1,21,23,24,26,30,5,1 21 23 24 26 30,1 21 23 24 26 30 + 5,125
2010139,11,13,18,20,26,31,9,11 13 18 20 26 31,11 13 18 20 26 31 + 9,119
2010140,1,12,13,18,26,29,15,1 12 13 18 26 29,1 12 13 18 26 29 + 15,99
2010141,2,3,7,18,23,27,6,2 3 7 18 23 27,2 3 7 18 23 27 + 6,80
2010142,2,16,18,23,26,27,10,2 16 18 23 26 27,2 16 18 23 26 27 + 10,112
2010143,9,16,18,26,30,31,14,9 16 18 26 30 31,9 16 18 26 30 31 + 14,130
2010144,2,3,8,15,19,21,11,2 3 8 15 19 21,2 3 8 15 19 21 + 11,68
2010145,3,21,24,27,28,31,8,3 21 24 27 28 31,3 21 24 27 28 31 + 8,134
2010146,1,17,18,22,25,32,1,1 17 18 22 25 32,1 17 18 22 25 32 + 1,115
