age,income,city,department,education,years_experience,projects_last_year,avg_weekly_hours,overtime_hours,cert_count,remote_ratio,satisfaction,manager_score,late_days,customer_tickets,acquisition_channel,target_label
26,76752,Hangzhou,Support,硕士,4,6,49,10,0,60,2.81,3.53,4,15,Event,B
39,76070,Beijing,HR,硕士,3,5,43,4,1,60,3.05,3.22,0,30,Ad,A
37,63711,Hangzhou,Product,高中,3,7,46,5,4,20,1.95,4.06,8,0,Referral,B
43,91836,Shanghai,Support,本科,12,7,49,2,1,100,2.99,3.29,4,17,Referral,A
30,55365,Beijing,HR,本科,4,4,52,0,1,100,4.56,4.1,2,16,Partner,B
54,106746,,Product,硕士,8,6,56,2,0,20,3.85,3.02,3,15,Partner,A
42,84126,Shenzhen,Support,硕士,3,6,56,6,4,60,3.48,3.46,0,0,Partner,A
48,87310,Hangzhou,Sales,硕士,7,3,36,0,0,100,3.4,4.25,1,11,Partner,A
23,39613,Chengdu,HR,本科,0,4,56,6,1,20,2.86,3.84,5,17,Ad,C
46,73783,Hangzhou,Sales,本科,5,6,49,3,0,100,1.99,3.88,4,16,Ad,B
41,73509,Shenzhen,Finance,本科,0,7,54,12,2,100,3.67,4.53,0,20,Referral,A
40,80672,Shanghai,HR,本科,8,4,38,9,4,40,3.04,4.42,1,4,Event,A
53,95624,Shenzhen,HR,硕士,14,6,37,4,3,20,4.11,2.19,2,25,Partner,A
30,54101,Chengdu,HR,高中,5,3,46,12,1,20,3.5,4.08,4,28,Partner,C
28,56869,Beijing,Product,本科,0,2,60,5,0,100,3.53,3.41,1,17,Online,C
28,70654,Shanghai,Sales,高中,10,7,53,3,2,40,4.5,3.22,2,11,Referral,A
44,92388,Hangzhou,Finance,本科,10,7,52,1,3,80,2.6,3.56,5,17,Event,B
21,77419,Beijing,Product,硕士,4,5,35,4,0,40,3.73,3.89,4,1,Event,C
32,55100,Chengdu,HR,本科,9,5,43,8,2,60,1.68,2.5,5,18,Online,D
52,73464,Guangzhou,HR,本科,11,4,43,8,1,100,3.6,4.24,5,14,Event,A
29,82963,Beijing,HR,本科,14,1,48,9,1,0,2.74,4.61,3,18,Online,A
38,52045,Guangzhou,HR,本科,0,4,44,7,3,20,3.83,4.16,3,8,Event,B
23,56817,Chengdu,Product,本科,5,6,40,5,1,60,4.33,2.97,3,16,Referral,B
53,82051,Chengdu,Support,硕士,10,6,46,13,1,100,3.3,3.79,2,20,Referral,A
51,113526,Shenzhen,Sales,硕士,14,6,45,3,1,100,3.15,3.68,3,12,Online,A
23,62624,Beijing,Product,本科,3,7,39,2,0,0,4.79,2.95,1,19,Partner,A
54,96040,Shanghai,Sales,本科,8,7,48,12,2,20,2.52,3.17,2,5,Online,B
33,65734,Shenzhen,Finance,本科,2,3,63,36,5,0,4.14,2.98,6,0,Ad,B
51,65979,Shanghai,HR,高中,6,6,49,1,3,80,2.5,,0,25,Online,A
39,81662,Beijing,Tech,本科,4,4,47,15,0,100,2.88,3.3,3,18,Online,C
40,78051,Chengdu,Tech,本科,5,6,45,6,3,20,1.64,3.55,4,7,Online,B
25,68450,Chengdu,Finance,本科,5,8,50,8,3,20,4.87,4.13,4,15,Referral,A
54,,Chengdu,Product,本科,8,6,54,8,2,20,3.18,2.54,4,18,Referral,B
43,93871,Beijing,Product,本科,8,9,50,0,3,0,1.0,5.0,3,12,Event,A
46,,Shenzhen,Product,高中,10,9,44,9,4,0,2.68,5.0,1,10,Referral,A
57,92866,Shanghai,Product,本科,3,7,54,0,2,60,3.43,3.0,1,9,Referral,A
22,61833,Guangzhou,Sales,本科,7,9,53,2,2,100,3.29,4.29,0,15,Event,A
57,102085,Shanghai,Product,硕士,4,5,53,1,0,60,4.24,4.03,6,0,Online,A
50,75361,Shanghai,Support,高中,10,10,42,2,2,80,2.85,3.98,4,9,Referral,A
57,110575,Guangzhou,Finance,硕士,14,3,48,4,3,80,2.73,3.73,4,8,Event,A
35,77966,Shanghai,Sales,本科,7,7,39,1,1,40,3.94,2.91,5,3,Online,A
32,56133,Shanghai,Support,高中,5,3,36,9,0,60,3.41,3.21,2,20,Referral,C
57,99831,Beijing,Product,本科,2,6,36,1,3,100,4.3,3.49,5,4,Online,A
43,101849,Hangzhou,Tech,本科,11,5,38,12,0,40,4.21,4.6,0,0,Ad,A
28,76737,Shanghai,Finance,本科,9,1,50,9,2,20,4.0,3.54,1,27,Referral,B
37,56560,Chengdu,Sales,高中,7,4,47,8,3,80,4.15,4.98,2,6,Referral,A
40,69207,Hangzhou,Support,本科,11,5,45,4,0,40,2.54,3.24,1,11,Online,A
47,95723,Hangzhou,Product,硕士,6,5,63,7,1,80,2.14,3.37,2,25,Ad,A
31,81451,Beijing,Tech,硕士,2,10,57,0,3,80,2.81,3.17,2,14,Event,A
44,76648,Chengdu,Tech,高中,4,4,43,0,5,80,3.35,4.04,4,7,Online,A
26,65391,Beijing,HR,本科,8,8,48,7,2,20,3.75,4.25,1,16,Referral,A
35,73096,Beijing,Finance,本科,3,1,57,4,5,0,2.47,4.84,4,19,Ad,A
27,83470,Guangzhou,Tech,本科,13,5,47,15,0,20,2.6,3.67,5,20,Partner,C
26,99675,Shanghai,Tech,硕士,8,5,45,4,3,100,2.22,3.85,3,2,Partner,A
53,75125,Shenzhen,HR,本科,3,6,38,2,0,100,1.73,4.15,3,14,Online,B
42,59793,Shenzhen,Tech,高中,3,8,43,11,0,0,4.42,2.86,0,20,Event,A
32,73169,Shenzhen,HR,本科,11,4,38,2,3,60,3.24,3.52,0,16,Referral,A
48,69806,Chengdu,Sales,本科,5,5,55,1,4,80,3.38,1.71,3,10,Event,B
57,77194,Shenzhen,Sales,高中,2,8,43,9,4,100,4.43,4.39,2,13,Referral,A
32,57151,Chengdu,Product,高中,8,4,51,10,4,100,3.1,2.92,3,25,Online,B
23,82461,Shenzhen,Finance,本科,14,4,39,3,1,100,3.48,3.85,3,6,Ad,A
51,110470,Shenzhen,Support,硕士,14,8,42,11,6,100,3.54,3.25,1,19,Referral,A
49,90693,Hangzhou,Support,硕士,12,6,48,1,0,100,3.63,3.32,0,16,Partner,A
50,75900,Shenzhen,HR,本科,6,7,52,0,1,40,3.48,3.72,2,12,Ad,A
36,72783,Beijing,Sales,硕士,1,5,56,0,0,40,2.46,4.36,6,8,Event,B
22,79246,Guangzhou,Tech,本科,7,5,48,9,5,40,3.03,2.72,1,8,Partner,A
40,61981,Shanghai,Sales,本科,0,10,54,9,3,80,3.61,3.58,3,6,Event,A
53,77627,Shenzhen,Support,本科,4,1,53,3,5,0,4.02,3.78,5,12,Online,B
27,66807,Shanghai,HR,本科,7,1,30,7,6,0,3.61,3.51,1,11,Referral,A
49,,Shanghai,Sales,高中,2,5,46,0,3,0,3.36,3.64,1,21,Event,A
22,86708,Shanghai,Tech,本科,8,7,62,0,4,40,3.98,4.74,5,16,Event,A
43,60742,Hangzhou,Support,高中,8,9,31,11,2,80,3.77,3.25,2,11,Ad,A
21,73667,Shenzhen,Finance,本科,10,8,40,10,3,80,4.29,4.1,0,12,Ad,A
50,105640,Shenzhen,Tech,本科,7,4,44,0,2,80,4.06,3.56,0,10,Online,A
29,63080,Guangzhou,Support,本科,9,4,52,4,4,100,3.14,3.08,3,17,Event,B
35,85609,Beijing,Sales,硕士,7,5,44,10,3,40,3.55,2.94,2,15,Online,A
55,92551,Shenzhen,Finance,本科,3,7,64,4,4,0,3.08,3.17,0,9,Ad,A
46,,Hangzhou,Tech,本科,2,4,46,0,3,20,2.82,3.56,2,15,Online,B
39,79115,Chengdu,Sales,本科,7,6,54,7,3,60,2.77,5.0,5,11,Ad,A
38,74102,Shenzhen,Sales,本科,8,4,40,3,2,20,3.03,3.27,6,10,Referral,B
22,82180,Beijing,Sales,博士,7,7,40,4,0,100,5.0,3.95,3,12,Ad,A
45,89420,Beijing,Tech,本科,0,7,45,0,4,20,2.97,3.67,0,13,Ad,A
57,86030,Guangzhou,Sales,本科,6,12,42,0,4,80,4.11,2.33,2,6,Partner,A
31,94438,Hangzhou,Product,硕士,9,8,48,6,3,0,3.4,3.47,1,24,Partner,A
40,74666,Chengdu,Tech,本科,5,5,46,1,0,0,3.89,3.01,4,17,Ad,B
52,101537,Shanghai,Product,硕士,4,7,48,13,2,80,4.62,3.56,6,17,Ad,A
54,85617,Shanghai,HR,本科,8,3,47,0,2,60,4.38,3.0,3,15,Online,B
21,53295,Chengdu,Support,高中,11,9,39,5,3,100,3.43,4.04,5,22,Ad,A
44,78588,Beijing,Sales,硕士,5,5,48,4,0,80,3.19,2.73,4,9,Referral,B
51,73820,Shanghai,Support,本科,3,2,55,4,5,80,4.42,4.16,2,12,Online,B
49,62302,Chengdu,Finance,高中,7,8,44,8,2,20,3.72,4.84,2,17,Event,A
37,77001,Chengdu,Tech,本科,5,10,37,8,1,80,2.11,3.97,2,10,Online,A
58,64782,Hangzhou,Product,高中,1,5,58,9,1,80,2.89,1.52,0,10,Partner,B
25,80315,Shanghai,Support,硕士,11,4,65,4,1,0,3.13,3.56,6,13,Referral,B
31,67919,Guangzhou,Finance,高中,8,2,30,13,3,0,2.75,4.33,3,4,Partner,C
33,65021,Chengdu,Support,硕士,6,1,40,0,1,100,3.66,4.17,2,1,Referral,B
42,91058,Shenzhen,Finance,本科,7,8,40,5,3,60,4.14,4.34,4,11,Ad,A
58,89629,Beijing,Product,本科,5,6,51,0,3,20,2.82,2.95,1,7,Partner,A
33,77330,Shanghai,HR,本科,11,3,69,8,0,0,3.24,3.99,2,11,Ad,B
32,100905,Beijing,Product,硕士,10,6,46,7,3,100,3.78,3.92,5,6,Partner,A
38,81598,Hangzhou,Support,本科,9,,45,0,4,20,4.17,4.03,3,14,Ad,A
44,90549,Hangzhou,Finance,本科,11,4,46,6,4,20,4.25,3.29,0,13,Online,A
47,77133,Hangzhou,Support,硕士,1,7,51,0,0,80,4.32,3.73,5,15,Referral,A
45,95148,Hangzhou,Sales,硕士,10,5,44,6,0,60,2.72,2.93,1,26,Ad,A
27,72683,Chengdu,Finance,硕士,5,6,62,8,1,80,2.75,4.14,3,19,Event,B
46,86285,Beijing,HR,本科,9,6,60,9,4,60,3.44,4.59,2,16,Partner,A
27,83488,Shanghai,Finance,本科,12,3,51,6,0,100,1.87,4.75,1,16,Online,B
24,79365,Shanghai,HR,硕士,9,10,52,10,1,100,5.0,3.39,6,10,Event,A
47,96725,Hangzhou,Support,硕士,9,6,50,5,4,20,2.97,3.9,4,16,Partner,A
55,89074,Beijing,Sales,本科,3,2,52,9,1,60,4.31,4.2,5,10,Partner,B
32,70335,Chengdu,Product,本科,10,8,57,2,1,100,2.81,2.96,3,12,Online,A
38,84972,Hangzhou,Product,本科,9,5,40,4,1,40,3.34,2.76,3,15,Event,A
22,65542,Guangzhou,Tech,本科,8,6,55,5,0,80,3.93,3.62,2,16,Online,A
37,81364,Shenzhen,Finance,本科,8,8,51,4,2,60,3.88,4.1,2,33,Ad,A
39,110206,Hangzhou,Tech,本科,12,6,43,7,3,20,2.62,2.87,2,15,Event,A
39,55558,Hangzhou,HR,高中,6,6,48,2,1,0,3.28,3.35,5,15,Referral,C
35,97111,Shenzhen,Tech,硕士,6,3,48,4,0,40,3.64,3.88,5,25,Partner,B
24,72101,Chengdu,Product,硕士,9,1,52,2,2,60,3.76,3.9,0,0,Online,A
33,74969,Shanghai,HR,硕士,6,3,56,7,2,40,3.21,3.0,2,23,Referral,B
54,85641,Hangzhou,Finance,本科,2,10,36,14,6,100,4.62,4.38,6,9,Partner,A
22,79759,Hangzhou,Tech,本科,12,11,47,7,2,60,3.12,2.19,1,6,Partner,A
37,61972,Shenzhen,HR,本科,9,4,46,9,1,100,3.35,3.8,3,14,Referral,A
52,88934,Shanghai,Support,本科,9,4,40,2,2,40,4.48,2.86,0,19,Online,A
29,56118,Guangzhou,Support,高中,11,1,48,3,0,0,2.22,3.14,0,16,Ad,D
39,94511,Shanghai,Product,本科,12,4,51,5,2,60,3.05,3.34,5,11,Referral,A
41,67375,Chengdu,HR,本科,11,3,42,1,0,80,4.34,2.9,0,5,Online,A
23,64058,Shanghai,Support,本科,8,4,54,7,3,60,4.43,2.39,3,21,Online,B
29,54427,Beijing,HR,高中,4,3,40,7,3,0,2.56,2.45,1,7,Partner,B
56,121684,Shenzhen,Tech,硕士,9,7,37,5,1,100,3.14,2.99,3,18,Ad,A
44,110221,Shanghai,Finance,硕士,11,5,49,4,0,40,3.85,3.37,5,11,Partner,B
32,76040,Guangzhou,HR,本科,18,6,44,6,2,0,2.83,3.58,4,18,Referral,A
22,88681,Beijing,Tech,本科,11,6,45,2,1,40,2.4,3.82,3,23,Partner,A
51,86383,Shanghai,Tech,高中,8,9,45,3,0,0,3.61,4.22,2,5,Referral,A
42,70302,Shenzhen,Product,本科,5,9,50,13,1,60,2.83,3.61,2,27,Referral,A
40,91154,Beijing,Product,本科,9,7,50,8,0,40,5.0,3.07,5,13,Event,A
21,,Guangzhou,Tech,硕士,4,9,39,8,4,60,3.68,3.86,2,3,Ad,A
27,76173,Guangzhou,Product,本科,8,6,43,4,2,40,4.31,4.88,2,16,Event,A
55,,Shenzhen,Support,本科,7,9,43,6,5,20,2.82,4.38,7,5,Ad,A
39,91458,Shenzhen,Support,本科,15,5,49,10,3,0,4.02,3.55,8,17,Ad,A
43,109948,Shanghai,Tech,硕士,5,1,54,6,3,80,1.65,3.8,3,15,Ad,B
26,66098,Guangzhou,HR,本科,10,6,46,4,2,20,3.89,3.36,3,27,Referral,A
54,84717,Shanghai,Sales,本科,6,4,48,4,1,60,2.36,2.4,1,27,Event,B
32,66257,Shanghai,Support,本科,3,9,46,6,2,40,3.11,3.54,2,22,Online,B
52,88959,Chengdu,Product,本科,12,9,36,1,4,60,3.49,3.31,2,19,Partner,A
34,87920,Shanghai,HR,博士,5,5,50,1,3,40,3.93,4.24,6,13,Referral,A
34,77942,Hangzhou,Sales,本科,6,7,50,3,5,60,3.03,4.01,6,13,Partner,A
25,85120,Shenzhen,Tech,硕士,7,5,46,5,3,80,4.11,3.32,1,8,Partner,A
52,61633,Beijing,Product,高中,0,1,37,3,2,20,3.72,2.37,0,12,Partner,B
31,57481,Shanghai,HR,本科,3,12,64,8,2,0,5.0,2.48,4,9,Partner,A
22,76845,Chengdu,Tech,本科,15,5,53,10,2,0,4.47,3.31,2,11,Ad,B
52,63195,Guangzhou,HR,高中,6,7,36,0,1,60,4.14,3.45,0,11,Ad,A
57,72254,Shenzhen,HR,本科,4,7,55,12,0,20,3.67,3.71,0,15,Ad,A
40,85497,Shanghai,Support,本科,11,3,32,7,2,60,3.31,2.65,7,8,Online,C
32,68821,Shanghai,Product,本科,1,5,43,13,0,80,3.06,4.24,5,19,Ad,B
21,61754,Chengdu,Support,本科,12,6,36,7,2,100,2.9,3.32,7,31,Event,B
28,97022,Shanghai,Sales,硕士,10,7,49,9,4,40,2.9,4.34,0,16,Referral,A
41,89650,Beijing,Product,本科,6,9,47,5,0,40,3.31,4.71,2,2,Referral,A
34,79443,Beijing,Product,本科,3,,39,6,1,60,4.32,4.13,2,15,Ad,A
47,74173,Beijing,Support,本科,3,6,38,5,2,100,3.1,4.77,4,10,Event,A
42,79747,Hangzhou,Sales,本科,7,4,46,4,2,40,3.4,4.09,4,0,Online,A
54,82339,Shanghai,Sales,高中,8,6,54,3,3,80,3.15,3.27,0,10,Referral,A
56,,Beijing,Sales,高中,11,4,57,0,4,40,3.83,3.36,2,10,Online,A
56,71995,Chengdu,HR,本科,7,1,44,13,5,80,3.9,2.84,5,9,Ad,B
57,113131,Beijing,Finance,硕士,6,6,47,6,3,0,2.66,4.07,3,6,Ad,A
30,61865,Chengdu,HR,本科,5,3,39,13,2,20,2.46,4.58,5,6,Partner,C
53,89562,Hangzhou,Support,博士,7,1,51,0,2,20,4.44,4.39,3,16,Event,B
37,89138,Guangzhou,Product,硕士,4,8,46,6,4,20,2.58,3.72,5,4,Online,A
45,87900,Hangzhou,Product,硕士,5,9,53,2,0,100,2.65,3.23,3,13,Online,A
50,67966,Shenzhen,Sales,高中,5,5,53,8,1,40,2.83,3.81,1,21,Ad,B
45,95895,Shanghai,Tech,本科,6,8,48,4,2,40,2.65,3.77,1,22,Referral,A
35,76814,Guangzhou,Support,硕士,6,5,49,5,0,100,3.28,4.4,2,16,Event,A
37,51688,Chengdu,Tech,高中,2,6,42,14,1,40,1.48,4.06,1,19,Partner,B
40,61320,Beijing,HR,本科,1,2,47,7,0,60,4.48,2.83,3,12,Ad,B
54,88887,Beijing,Tech,本科,1,,43,9,3,100,3.18,3.35,2,15,Ad,A
40,59329,Chengdu,Support,本科,3,6,48,0,0,80,2.98,3.28,5,5,Ad,A
33,63056,Shanghai,HR,硕士,6,,50,6,0,0,3.42,2.85,3,14,Ad,A
31,61507,Beijing,HR,本科,4,1,39,12,3,60,3.58,3.27,4,16,Partner,B
33,74801,Guangzhou,Support,硕士,6,4,45,7,0,0,3.73,4.46,2,4,Event,A
39,98020,Shanghai,Product,本科,13,8,49,0,0,0,3.64,4.7,2,16,Online,A
32,82476,Hangzhou,Sales,博士,6,3,47,0,0,60,2.3,4.21,4,22,Event,A
58,88052,Chengdu,Finance,本科,11,6,45,6,2,100,3.78,4.67,3,13,Partner,A
34,58557,Chengdu,Finance,本科,4,5,45,12,1,80,5.0,3.99,2,11,Event,A
21,53643,Guangzhou,Finance,高中,4,10,51,7,2,0,4.26,3.72,0,16,Partner,A
46,74765,Guangzhou,Finance,本科,9,9,51,3,2,60,2.39,3.94,2,15,Referral,A
39,64349,Shenzhen,Sales,本科,0,6,41,0,2,40,3.82,4.29,2,13,Referral,A
58,97269,Shenzhen,Product,本科,4,5,41,14,1,100,3.72,4.85,2,14,Online,B
23,61569,Guangzhou,Finance,高中,7,7,43,11,3,60,2.25,4.25,4,17,Referral,A
30,70470,Hangzhou,Finance,硕士,5,4,48,3,0,60,3.6,3.56,4,11,Event,A
55,106373,Shanghai,HR,硕士,10,3,58,6,1,80,4.37,3.11,1,25,Event,A
49,100059,Guangzhou,Finance,硕士,14,3,40,10,1,0,3.85,3.02,0,10,Event,A
45,,Hangzhou,HR,本科,7,8,42,0,0,20,3.34,4.22,1,14,Event,A
51,96194,Guangzhou,Product,硕士,5,3,55,0,2,80,3.21,3.81,1,6,Online,A
23,61861,Chengdu,Sales,本科,5,4,45,7,3,20,3.17,3.98,0,12,Partner,A
36,59978,Shenzhen,HR,本科,0,6,34,9,0,40,3.44,3.76,2,9,Partner,B
27,92270,Shenzhen,Finance,硕士,11,6,45,9,1,40,2.8,1.84,2,10,Referral,B
43,79805,Shanghai,Support,本科,10,5,44,16,1,100,4.78,4.03,3,26,Event,A
56,70256,Guangzhou,Sales,高中,6,7,43,1,0,0,3.48,3.91,3,20,Event,A
55,102360,Hangzhou,Support,硕士,12,4,47,5,2,20,2.17,3.04,4,5,Ad,B
55,81223,Guangzhou,Finance,高中,13,3,42,1,2,100,4.08,3.3,0,11,Event,A
27,79417,Chengdu,Tech,硕士,6,10,47,6,3,80,3.78,3.16,3,28,Event,A
36,93916,Hangzhou,Tech,本科,4,3,53,0,5,0,3.38,3.96,3,15,Referral,A
42,69406,Guangzhou,Finance,本科,7,3,50,6,5,60,3.31,2.17,0,20,Ad,B
23,63062,Shenzhen,Support,硕士,4,9,38,6,0,0,4.46,3.32,7,16,Referral,B
51,80451,Guangzhou,Finance,本科,6,7,54,11,4,0,4.86,3.67,1,5,Partner,A
51,89422,Shenzhen,Support,本科,11,5,42,8,4,80,3.23,2.93,4,3,Partner,A
45,85495,Guangzhou,Sales,硕士,2,7,56,6,3,40,2.07,3.42,3,21,Event,B
57,92015,Hangzhou,Product,本科,3,7,55,2,5,60,5.0,2.6,4,20,Referral,A
27,83143,Shenzhen,Support,硕士,10,5,43,6,3,40,4.47,4.87,1,10,Partner,A
29,71167,Chengdu,Sales,硕士,6,7,51,0,3,40,2.34,3.39,3,17,Partner,A
51,58569,Hangzhou,Sales,高中,5,5,55,9,0,100,4.29,4.75,1,12,Ad,A
57,94231,Guangzhou,Finance,硕士,4,5,38,4,4,0,2.93,3.89,3,8,Online,A
45,121905,Shanghai,Tech,博士,9,1,34,5,1,100,3.18,3.36,1,9,Partner,B
46,88889,Hangzhou,Product,硕士,7,6,45,6,0,100,3.61,2.97,1,0,Event,A
39,75021,Shanghai,Sales,本科,0,10,55,0,5,80,2.3,4.22,5,7,Ad,A
23,71594,Hangzhou,HR,本科,12,4,50,6,2,0,2.67,3.63,3,15,Ad,B
55,88912,Hangzhou,Finance,本科,6,7,45,2,0,40,4.3,3.19,4,17,Partner,A
28,83752,Beijing,Tech,硕士,4,5,62,6,2,80,2.45,3.09,5,17,Event,B
42,88543,Hangzhou,HR,硕士,9,7,49,2,1,60,1.7,3.32,1,12,Referral,A
42,101887,Shanghai,Tech,本科,10,5,46,14,0,60,2.95,5.0,4,20,Event,A
38,62373,Guangzhou,Product,本科,1,7,46,9,2,0,4.69,3.43,7,22,Event,B
43,71165,Shenzhen,Sales,本科,5,4,61,11,0,100,3.23,5.0,2,16,Referral,B
38,71762,Chengdu,Product,本科,5,2,38,8,3,80,5.0,3.35,0,0,Event,A
29,109175,Beijing,Tech,硕士,9,9,42,6,4,20,4.41,3.91,3,10,Online,A
38,78463,Beijing,Tech,本科,3,2,48,8,0,60,3.57,,0,22,Event,B
38,68896,Shanghai,Finance,本科,0,6,41,14,1,40,3.88,3.2,2,19,Online,A
37,63193,Chengdu,Support,本科,9,10,55,4,1,20,3.13,3.85,1,7,Event,A
37,79114,Hangzhou,Finance,本科,7,11,36,2,2,80,2.29,3.1,1,3,Referral,A
39,82762,Hangzhou,Product,本科,5,9,43,4,0,0,4.28,4.44,4,11,Partner,A
38,80170,Shenzhen,HR,硕士,6,6,45,8,3,80,4.26,3.51,3,5,Event,A
42,102475,Shenzhen,Tech,本科,11,2,48,3,1,40,4.32,3.5,5,21,Referral,B
51,69316,Hangzhou,HR,本科,7,3,55,8,3,20,2.71,4.18,2,19,Partner,C
33,82023,Beijing,Finance,本科,9,11,46,5,0,40,1.72,1.76,3,20,Referral,A
40,,,Finance,硕士,7,6,49,3,5,60,4.11,2.8,2,5,Referral,A
32,63213,Hangzhou,Support,本科,3,3,50,9,3,40,2.31,3.71,3,22,Online,B
33,80097,Guangzhou,Sales,本科,6,5,51,1,2,80,3.47,4.15,3,14,Partner,A
24,76083,Guangzhou,Product,本科,11,8,60,10,2,80,3.26,4.15,0,12,Ad,A
42,85216,Hangzhou,Product,本科,9,6,38,16,1,20,4.2,3.96,1,21,Partner,A
38,69780,Hangzhou,Tech,本科,0,9,45,8,0,80,4.39,4.42,3,18,Referral,A
27,69435,Shanghai,Support,本科,9,9,44,8,3,20,4.1,4.26,4,14,Ad,A
58,102431,Shanghai,Support,硕士,9,5,38,13,2,80,4.88,3.67,3,11,Referral,A
51,114301,Shenzhen,Finance,硕士,11,7,48,0,1,40,2.48,3.02,2,16,Ad,A
49,69457,Shenzhen,Sales,高中,9,5,50,9,0,60,4.03,3.39,3,12,Ad,B
37,86807,Hangzhou,Tech,本科,9,3,41,10,0,60,3.34,2.97,5,13,Partner,B
44,80364,Hangzhou,Finance,本科,11,6,48,8,0,0,3.28,2.67,6,17,Partner,B
47,69903,Hangzhou,Support,本科,2,8,59,3,4,20,3.89,5.0,3,21,Partner,A
33,76978,Hangzhou,Tech,本科,4,5,45,6,0,0,4.81,3.23,1,18,Referral,A
41,73904,Shenzhen,Finance,本科,4,10,47,9,1,20,3.47,3.42,2,14,Ad,A
28,76072,Shanghai,Support,本科,8,8,51,9,3,40,3.16,4.07,1,8,Referral,A
58,74191,Guangzhou,Finance,本科,2,4,39,78,0,0,3.19,5.0,2,18,Event,C
47,,Chengdu,Tech,本科,7,5,45,10,0,60,3.6,4.0,4,19,Online,A
56,71339,Guangzhou,HR,本科,1,7,53,3,0,80,2.27,4.1,3,10,Ad,A
42,67058,Beijing,Support,高中,9,5,54,3,1,100,3.18,,2,14,Ad,A
53,56646,Chengdu,HR,高中,6,6,37,12,2,80,1.75,3.15,1,8,Event,B
26,58843,Shenzhen,HR,本科,5,4,54,13,1,0,4.08,3.5,3,17,Ad,B
43,101042,Beijing,Sales,本科,15,8,44,7,2,40,2.31,4.02,6,10,Event,A
36,72865,Chengdu,Finance,硕士,3,,54,4,1,100,4.38,2.74,4,23,Event,B
47,72246,Shanghai,Support,本科,6,8,39,4,0,100,2.63,3.68,3,13,Online,A
44,61043,Hangzhou,Support,高中,6,5,55,0,0,40,4.44,3.92,4,10,Referral,A
50,64670,Chengdu,Sales,本科,2,9,35,10,5,0,4.12,2.79,3,21,Online,A
46,74631,Shenzhen,Sales,硕士,0,7,50,5,1,80,4.34,3.74,3,0,Event,A
22,80410,Shanghai,Support,本科,14,3,43,8,4,60,3.13,5.0,2,6,Event,A
33,81410,Shanghai,Tech,本科,2,3,52,5,2,80,4.0,3.38,5,23,Ad,B
21,46360,Shenzhen,HR,本科,2,3,56,4,0,20,2.25,3.07,0,8,Event,B
54,63977,Guangzhou,Sales,本科,2,5,49,16,0,80,3.43,3.11,5,24,Event,C
39,92617,Shanghai,Tech,本科,5,6,55,4,2,0,3.12,4.31,4,14,Ad,B
51,88081,Hangzhou,Sales,本科,9,5,50,11,0,60,4.07,2.89,3,23,Referral,B
29,93244,Guangzhou,Tech,本科,14,8,30,5,3,20,2.24,,5,12,Event,A
35,69409,Guangzhou,Product,本科,2,2,36,8,4,80,3.18,2.71,0,15,Event,B
34,77639,Shanghai,Tech,本科,2,3,49,0,0,40,3.62,5.0,3,17,Online,A
57,86481,Beijing,Sales,本科,6,6,51,2,0,40,4.09,3.07,6,11,Ad,A
49,81570,Shenzhen,HR,本科,10,6,43,0,3,100,4.03,3.32,2,2,Referral,A
50,71469,Hangzhou,HR,硕士,0,5,41,5,2,100,2.92,3.66,2,17,Event,B
25,48253,Hangzhou,Support,高中,2,4,35,10,4,0,2.86,2.78,4,19,Event,D
21,87662,Shenzhen,Sales,硕士,8,9,51,1,3,20,3.46,4.03,5,16,Event,A
36,80262,Shenzhen,Finance,本科,7,6,38,3,1,100,3.72,3.44,3,14,Event,A
44,58284,Chengdu,Support,本科,6,9,46,8,0,0,4.44,2.65,4,27,Referral,B
46,112201,Shanghai,Finance,本科,8,6,47,15,2,60,2.73,4.41,4,23,Ad,A
44,93844,Hangzhou,Tech,本科,9,8,48,2,2,100,4.68,2.7,0,15,Partner,A
50,,Beijing,Finance,本科,9,2,51,12,3,40,2.89,4.91,2,0,Partner,A
36,78367,Beijing,HR,本科,9,4,47,4,2,60,3.24,4.23,2,8,Partner,A
25,60950,Chengdu,Product,本科,8,7,43,5,1,100,3.77,4.19,4,19,Referral,A
37,62254,Shenzhen,HR,本科,4,7,52,2,0,60,3.11,2.63,4,16,Event,B
24,70355,Shanghai,Support,本科,6,3,40,0,4,0,3.8,4.04,6,19,Partner,B
52,101436,Shanghai,Product,本科,8,9,55,1,2,80,3.35,3.57,0,8,Partner,A
45,80752,Chengdu,Tech,本科,4,5,43,8,2,20,4.47,3.23,0,8,Ad,A
40,68431,Shenzhen,HR,本科,6,8,40,8,2,60,2.29,3.79,4,27,Online,B
53,70887,Beijing,Support,本科,1,3,48,0,0,20,2.18,3.3,0,10,Ad,B
33,77821,Chengdu,Tech,硕士,2,4,48,5,3,100,2.85,3.31,7,24,Referral,C
56,102604,Beijing,Product,本科,13,2,46,7,0,0,3.43,2.83,5,8,Online,B
39,82388,Beijing,Tech,本科,1,7,42,5,0,0,2.3,2.07,0,19,Online,B
41,55860,Shenzhen,HR,本科,0,9,42,5,2,20,3.71,2.76,0,16,Online,B
46,85497,Chengdu,Finance,本科,9,4,38,0,3,100,3.78,3.04,6,15,Partner,A
38,91581,Beijing,Sales,硕士,9,3,38,4,3,80,5.0,3.72,3,12,Online,A
