Word,Derivatives,English Definition
economically,economic; economist; economization; economism; economical,in an efficient manner; without using too much effort
economist,economic; economically; economization; economism; economical,a person who studies economics
edition,edit; editor; editorial; editable; edited,a particular published version
effectiveness,effective,the degree of how well something works or is done
elaborate,elaboration; elaborateness; elaborated; elaborating,to be made or done with great care or with much detail
elastic,elasticity; elastance; elastically; elasticize,able to return to original shape or size after stretching
elasticity,elastic; elastically; elastics; elasticize,the ability to stretch easily and then quickly return to the original shape
electron,electronic; electronically,a negatively charged particle
elementary,elements; element; elemental; elementarily,"basic, simple, or essential"
elements,element; elemental; elementary,basic parts of something
elevate,elevation; elevated; elevating,to make something higher
elevation,elevate; elevator; elevated,the height of a place
eliminate,elimination; eliminated; eliminator; eliminating; eliminatory,to remove or get rid of
elimination,eliminate; eliminator; eliminated; eliminating; eliminates,the act or process of removing or being removed
elite,elites,important people of high status
embed,embedded; embedding,"to place or set inside rock, etc"
emerged,emerge; emergence; emergent; emerging; emerges,came out or became known
emergence,emerged; emerging; emerges; emergent; emergency,the process of emerging/coming out
emission,emissive; emissary,a substance (e.g. gas) released into the air
emit,emitter; emitted; emitting,"formal to release or send out (a gas, etc)"
emperor,emperors,man who rules an empire
emphasis,emphasize; emphatic; emphatically,special importance or attention
empirical,empiric; empirically; empiricism,based on observation or experiment
enable,enabled; enabling; enablement; enabler,to make possible
encode,encoder; encoded; encoding,to change a message or information into code
encountered,encounter; encountering; encounters,"met or experienced, often unexpectedly"
energy,energetic; energetically; energize; energies,power or ability to do work; vitality
enforcement,enforcer; enforceable; enforced; enforcing; enforces,the act or process of making sure that rules are followed
enhanced,enhance; enhancement; enhancing; enhancer; enhances,improved or increased
enormous,enormously; enormousness; enormity,very large
enormously,enormous; enormousness,"extremely, by a large amount"
ensure,ensured; ensuring; ensurer,to make certain
entities,entity; enter,things that exist as separate units
entity,entities; enter,something that is real
entrant,entrance; entrants,a person who enters a contest
environment,environmental; environmentally; environmentalist; environs; environ,surroundings or the natural world
enzyme,enzymes,a protein made by cells
epidemic,epidemically; epidemics,a disease affecting many people
epidemiology,epidemiological,the science of how diseases spread
equality,equalization; equal; equaled; equalized; equaling,the idea that all people have the same rights
equation,equate; equivalent; equational; equity; equability,a mathematical statement showing equality
equilibrium,equilibrate; equilibria; equilibrated,a state of balance
equipment,equip; equipped; equipping; equips,tools or machines needed for a purpose
equivalence,equivalent; equivalently; equivalency,when something is equal to something else
equivalent,equivalence; equivalently; equivalency,"equal in value, meaning, or effect"
erase,eraser; erasable; erased; erasing,to remove written information or information on a computer memory
erosion,erode; erosive; eroded; erosional; eros,gradual wearing away or weakening
error,erroneous; erroneously; errorless,a mistake
essence,essive; essences,the most important part or quality of something
essentially,essentialness; essentiality; essentialist; essentialism; essential,"basically, primarily"
established,establish; establishment; establishing; establisher; establishes,"accepted, set up, or made firm"
estate,estates,"property, especially land and buildings"
estimate,estimation; estimated; estimable; estimably; estimating,an approximate calculation or judgment; to calculate roughly
estimation,estimate; estimator; estimable; estimably; estimated,judgment; opinion; guess at the value of
ethical,ethics; ether; ethicist; ethic; ethically,morally right or wrong
ethics,ethical; ether; ethicist; ethic; ethically,"the moral principles, standards, and rules for deciding what is right and wrong"
ethnic,ethnicity; ethnically,"relating to a cultural, racial, or national group"
evaluation,evaluate; evaluative; evaluator; evaluated; evaluating,"a judgment of value, quality, or importance"
eventually,eventuality; eventual,in the end; after some time
evidence,evident; evidently; evidential; evidenced; evidencing,information showing whether something is true
evident,evidence; evidential; evidently,"plain, clear"
evolution,evolve; evolutionary; evolutionarily; evolutionist; evolutionism,gradual development or biological change over time
evolutionary,evolution; evolutionist; evolutionism; evolutionarily,concerning evolution
ex,,"a prefix meaning ""out of,"" ""from,"" or ""not"""
exceed,excess; excessive; exceedingly,to be greater than a limit or amount
excluded,exclude; exclusion; exclusive; excluding; excludes,kept out or not included
execute,execution; executive; executable; executed; executing,"To kill someone, usually as an official punishment"
execution,execute; executioner; executor; executive; executable,killing a person as a (usually legal) punishment
exhibit,exhibition; exhibitor,to show or display
exit,exited; exiting; exits,a door that you go through to leave a place
expansion,expand; expansive; expanded; expansionist; expansionism,"an increase in size, amount, or range"
expert,expertise; expertly; expertness; expertism; expertize,a person with special skill or knowledge; highly skilled
expertise,expert; expertness; expertism; experts; expertize,the special knowledge that an expert has
explicit,explicitness,definite; clearly stated; specific
explicitly,explicit; explicitness,clearly; specifically
exploit,exploitation; exploiter; exploitative,to use something or someone selfishly or unethically
exploitation,exploit; exploitative; exploited; exploiter; exploiting,unfair use of someone or something; use of resources
exponential,exponentiation; exponents; exponent,a constant e raised to a power equal to a given expression: e.g. e3x is the exponential of 3x.
export,exporter; exportation,to send goods or services to another country
exposure,expose; exposed; exposable,contact with or being subject to something; public attention
external,externally; externalize; externalization; externality; externalism,outside or relating to the outside
extract,extraction; extractive; extractor; extractible,to remove or take out; a selected passage
fabric,fabrication; fabricant,cloth
facet,facetted; facetting,a part of something
facilitate,facilitation; facilitated; facilitating; facilitatory,To make an action or process easier
factorial,factors; factorization; factor; factored; factoring,concerning factors or factorials
factors,factor; factorial; factorize; faction; factorization,"causes, influences, or elements in a situation"
faculty,faculties,the teachers in a school or college
fatigue,fatigued; fatiguing,being very tired
features,feature; featured; featureless; featuring,distinctive parts or qualities
federal,federation; federalism; federally; federalization; federalist,relating to a central national government
feedback,,a response to a message; information about a person's behavior
fees,feal; feed,payments for services
fertility,fertilization; fertilized; fertilizing; fertilize,the state of a female being able to produce young
fetal,fetation; fetter; fetor; fetial; feted,"concerning a fetus, an unborn baby"
fever,feverous; fevered; fevers,a high body temperature
fiber,fibrous; fibered,"a thin, threadlike part of an animal hair or plant tissue; an artificial thread; body cells that form muscles and nerves; a food substance"
file,filing; filed; filer; fileable,a collection of records; to submit officially
fin,final; finance; finial; finical; finned,"the flat, thin body parts of a fish that sticks out and helps guide it through water"
final,finalize; finally; finality; finalization,last or conclusive
financial,finance; financier; financially; financed; financing,relating to money
finite,finiteness,having limits; lasting for a limited time
flesh,fleshed; fleshing; fleshes; fleshless,the soft parts of the body
flexibility,flexor; flexible; flexibly; flexed; flexing,the quality of being able to be bent or stretched
flip,flipper; flipped; flipping; flippest,to rotate or turn something over
fluctuations,fluctuate; fluctuation; fluctuating; fluctuated; fluctuates,rises and falls; irregular changes
fluid,fluidness; fluidity; fluidize,a material that can easily flow. e.g. water
flux,fluxed; fluxing; fluxes; fluxion,a state of flow and change
focus,focussed; focussing,the center of attention; to concentrate
footnote,footnoted; footnoting,extra information at the bottom of a page
formally,formation; formalization; formality; former; formalist,in a formal manner; officially
format,formation; formatted; formatting; formatter; formative,an arrangement or structure; to arrange
formula,formulate; formulation; formulaic; formulaically,"a rule, equation, or fixed method"
formulation,formula; formulator; formulism; formulaic; formulaically,"the development of a plan, system, or proposal"
forthcoming,come; coming,about to happen; willing to provide information
forum,forums,meeting where people can openly discuss a subject
fossil,fossilization; fossilized; fossilizing; fossilize,a plant or animal that has become rock after many thousands of years
foundation,found; founder; foundational; founds; founded,a basis or underlying support; an organization
founded,found; foundation; founder; founds; founding,established or created
founds,founded; foundation; founder; founding; found,"to be based on, started or created by"
fraction,fracture; fractal; fractional; fractionize,a part of a whole
fracture,fractured; fracturing,the result of breaking a hard material; a crack
framework,frameworks,"a basic structure of ideas, rules, or support"
freely,freer; freed; freeing; frees; free,"(living, existing) without being controlled"
friction,frictional; fricative; frictionless,the act of sliding two objects against each other
fringe,fringed; fringing,the edge of something; such as the decorative edge on a piece of clothing
function,functional; functionally; functionality; functor; functionless,a purpose or operation; to work
fundamental,fundamentally; fundament; fundamentalist; fundamentalism,basic and essential
fundamentally,fundamental; fundament; fundamentalist; fundamentalism; fundamentals,in a basic and important way
funds,fund; funding; funded,money available for a purpose
fungus,funguses,"a group of plants that grow on dead materials and have no flowers, e.g. mushrooms"
furthermore,,in addition
fusion,fusionism; fusional; fusible; fused; fussed,"when different styles, ideas or designs combine to form something new; in physics: when atoms combine to produce nuclear energy"
gauge,gaugeable; gauged; gauging,a tool used to measure things
gender,gendered; genders; genderless,a social or biological category related to sex
generalization,generalize; generality; generalist; general; generalized,making a statement about a group from limited data
generalize,generalization; generality; generalist; general; generalized,To apply a particular idea to a large group
generated,generate; generation; generative; generator; general,produced or created
generation,generate; generative; generator; generated; general,production; a group born around the same time
genetically,genetics; geneticist; genetic; genet,"caused or controlled, or by genes"
genetics,genetically; geneticist; genetic; genet,"the scientific study of genes, how a living things develop between generations"
ghost,ghosted; ghosting; ghosts,"spirit of a dead person, appearing to the living"
global,globally; globalize; globalization; globalist; globalism,worldwide
globalization,globalize,"international spread of something, e.g. company"
goals,goal; goal-oriented; goalless,aims or desired results
goat,goats,small animal with beard and horns
goodness,goods; good,nourishment; good food value
goods,goodness; good,general term for things that are bought or sold
grade,graded; grading; gradual; gradation; grader,"a level, mark, or quality"
gradient,gradients; grady,a measure of how steep something is
gram,grams,a metric unit of weight
grammatical,grammatically,concerning grammatical rules
granted,grant; granting; grantor; granter; grants,given formally; accepted as true
graph,graphical; graphic; graphically,image expressing numerical data in lines or shapes
grasp,grasped; grasping; grasps,to grip something firmly with the hands
gravity,gravitate; gravitation; gravitational,the force that makes things fall down towards the ground
grid,gridded; grids,a metal structure with bars that is used to cover a hole
gross,grossness; grosser; grossly,total amount; extreme or unreasonable
guarantee,guaranteed; guarantor,a promise that something will happen or be done
guidelines,guideline; guide; guidance,rules or advice on how to do something
gut,gutter; gutted; gutting; gutless; gutty,"the parts inside: a human body, animal body or a machine"
habitat,habitation; habitats,"the natural place, or type of place, where a plant or animal lives"
halfway,,a middle point between two extremes
handout,handouts,"a piece of paper with information, often given out before a presentation"
harvest,harvester; harvested; harvesting; harvests,the time of year to bring crops in from the fields
hawk,hawker; hawked; hawking; hawks,a large bird that gets its food by killing smaller birds and animals
headquarter,headquarters,the main office of a company or organisation
hedge,hedger; hedged; hedging,a fence made with small trees; avoid or try to avoid fulfilling
helix,helixes,a 3D spiral shape
hence,,therefore; from this time
hepatitis,,"a disease of the liver that causes inflammation, yellow skin and a fever"
herbicide,herbicidal; herbicides,a poison that kills weeds
hierarchical,hierarchy; hierarchically,arranged in levels of importance or rank
hierarchy,hierarchical; hierarchically; hierarchies,a system for organizing people or things according to their importance
highlighted,highlight; highlighting; highlighter; highlights,emphasized or made easy to see
hip,hipness; hipper; hipped; hipping; hippest,the upper part of the leg
historically,historicity; historicist; historicism; historical; historic,throughout history
homework,,work that a student is given to do at home
horizon,horizons,the line where the earth or sea meets the sky
horizontal,horizontality; horizontals,flat or level
hormone,hormonal; hormones,a chemical produced by the body to control some function
hydrogen,hydrogenation; hydrogenous; hydrogenize,"the lightest of all chemical elements, has no smell or color"
hypothesis,hypothesize; hypothetical; hypothetically,a proposed explanation to be tested
identical,identified; identification; identicalness; identity; identic,the same in every way
identification,identified; identifying; identifies; identify,(card or paper) that proves who a person is
identified,identify; identification; identifiable; identical; identity,recognized or named
ideology,ideological; ideologically; ideologies,ideas or beliefs which form theory and policy
ignored,ignore; ignorance; ignorant; ignition; ignorantly,paid no attention to
illusion,illusionist; illusionism; illusional; illusive; illus,"an image that seems real, but is not real"
illustrated,illustrate; illustration; illustrative; illustrator; illustrating,explained with examples or pictures; decorated
image,imagine; imagery; imaginative; imaged; imaging,"a picture, mental representation, or public impression"
immigration,immigrate; immigrant; immigratory; immigrated; immigrating,movement to live in another country
immune,immunity; immunize; immunization,"not affected by something, such as a disease"
impact,impaction; impacted; impacting; impacts,a striking effect or result to hit with force
implementation,implement; implemented; implementable; implementer; implementing,putting a plan or system into effect
implications,implication; imply; implicit; implicitly; implicational,"possible effects, results, or meanings"
implicit,implicitness,not stated directly
implies,imply; implication; implicit,suggests indirectly
importantly,important,in an important way;
imposed,impose; imposition; imposing; imposer; imposable,forced to be accepted or obeyed
impulse,impulsion; impulsive; impulsed; impulsing,a sudden desire to do something that is not planned
incentive,incentivize; incentivized,something that encourages action
incidence,incidences; incident,the rate that something happens
inclination,incline; inclined; inclining; inclines; inclinatory,"a tendency, preference, or slope"
incline,inclination; inclined; inclining,a slope or surface that rises uphill
inclusion,inclusive; inclusively,act of including; person/thing that is included
income,incoming; incomes,"money received, especially regularly"
incompatible,incompatibility; incompatibly; compatible,unable to exist or work together
incorporated,incorporate; incorporation; corporate; incorporable; incorporating,included as part of something; legally formed as a company
incredible,incredibly; incredibleness,very hard to believe
incredibly,incredible; incredibility,"extremely, hard to believe"
incumbent,incumbents; incumbency,a person who holds a particular office or position
independently,independents; independent,in a manner being free from the control of another
index,indexation; indexer,a list or measure used for reference
indicate,indication; indicative; indicator; indiction; indic,"to show, point out, or suggest"
indicator,indication; indicative; indicated; indicating; indicates,"an instrument that shows conditions in a machine, such as temperature, speed, pressure; in chemistry: a compound that changes color in the presence of an acid or a base"
indifference,indifferently; indifferent,a lack of enthusiasm or interest in things; seeming not to care
indigenous,indigenousness,"living or growing naturally in an area, not brought from somewhere else"
indirect,indirection; indirectness,having a path that is not straight or direct
individual,individually; individuality; individualism; individuation; individualization,a single person or thing; separate
individually,individual; individuation; individualization; individuality; individualist,in a way involving only that person
induce,induced; inducement; inducer; inducing,"to cause, to persuade"
induced,induce; induction; inductive; inducement; inducer,caused or brought about
induction,induced; inductance; inducer; inductor; inductive,"bringing about, or causing"
industrialization,industrialize; industrialized; industrializing; industrializes,process of creating and developing many businesses
industrialize,industrialization; industrialist; industrialism; industrial; industrialized,To make into something at an industrial level
inequality,inequalities,situation where things are not equal/fair
inevitably,inevitable; inevitability,happening with complete certainty
infect,infection; infected; infecting; infects,to give someone a disease
infectious,infectiousness; infectiously,"capable of causing infection, by the spreading of a bacteria or virus to others"
inference,inferred; infer; inferring; infers,an opinion that you form based on information you already have
inferior,inferiority; inferiors,not as good as something else
inferred,infer; inference; inferential,concluded from evidence or reasoning
infinite,infinitive,without an end
infinity,infinities; infin,with out end; limitless
influential,influence; influentially,having the power to cause change; having influence
informal,information; informality; informer; informative; informed,not official; not done by the rules
infrastructure,infrastructural; infrastructures,basic systems and facilities needed for operation
inherent,inherently; inhere; inherence; inhered; inhering,existing as a natural or essential part
inhibit,inhibition; inhibitor,to make it difficult for a process to start or continue in a normal way
inhibition,inhibit; inhibitor; inhibited; inhibiting; inhibits,the process whereby nerves can retard or prevent the functioning of an organ; the act of blocking or holding back
initial,initially; initiate; initiative; initiation; initialization,first or at the beginning
initiate,initial; initiation; initiative; initiated; initiating,to start
initiation,initial; initiate; initiator; initiative; initially,"a formal entry into an organization, position or office"
initiatives,initiative; initiate; initial; initiation; initiator,new plans or actions to solve a problem
inject,injection; injector,to put medicine into someone with a syringe
injection,inject; injector; injected; injecting; injects,a way to put (inject) a drug or another substance into your body
injury,injure; injured; injurious; injuries,physical harm or damage
innate,innateness; innately,present in a person or animal from the time of birth
innovation,innovate; innovative; innovator; innovational; innovated,"a new idea, method, or product"
input,inputting; inputted,"information, resources, or energy put into a system"
insect,insects,"a small animal with 6 legs, such as a bee or ant"
insert,insertion; inserted; inserting; inserts,to put something in something
insights,insight; insightful,clear understandings of complex situations
inspection,inspect; inspector; inspectable; inspected; inspecting,careful examination
instability,instance; instal; instantly; inst; instant,not stable; changeable
instance,instant; instantiate; instantiation; instal; instantly,an example or occurrence
instinct,instinctive; instinctively,"the natural way a person or animal thinks or behaves, knowledge that is not learned"
institute,institution; institutional; institutionalize; instituter; instituted,an organization for a special purpose; to establish
instructions,instruct; instruction; instructive; instructor; instructional,directions on how to do something
integral,integrity; integration; integrality; integrative; integrable,part of something
integration,integral; integrity; integrability; integrator; integrationist,act of bringing things together into a whole
integrity,integral; integrate; integration; integrative; integrable,honesty; wholeness or soundness
intelligence,intelligent; intelligently; intelligible; intelligibly,the ability to learn and understand; information gathered
intensity,intensive; intensification; intenser; intensively; intensified,"great energy, strength, or concentration"
intensive,intensity; intensification; intensiveness; intenser; intensively,needing great effort for a short period of time
interact,interaction; interactive; interactively,"an action that is answered by a reaction, verbal or physical"
interaction,interact; interactive; interactively; interacted; interacting,action or influence between people or things
interestingly,interesting,you'll find this surprising; in an interesting way
interface,interfaced; interfacing,a shared boundary between two persons or systems through which information is communicated.
interfere,interfered; interfering,to get involved in the business of others without invitation
intermediate,intermediates; intermediary,between
internal,internally; internalize; internalization; internment; internist,inside or within an organization or body
interpretation,interpret; interpreter; interpretive; interpretational; interpretative,an explanation of meaning
interrupt,interruption; interrupter,to cause something to stop happening for a time
interval,intervals,"the distance between two points, numbers or times"
intervene,intervened; intervening,"to get involved, to prevent trouble"
intervention,intervene; interventional; intervening; intervenor; interventionist,action taken to change a situation
interviewer,interviewed; interviewing; interviews; interview,a person who asks questions to obtain information
intrinsic,intrinsically,belonging naturally; essential
invade,invader; invaded; invading,to enter a place with an aim of taking control of it
invasion,invasive; invasions,an entry into a place for the purpose of taking control
inversion,inverness; inverses; inverse,a change in position of things so they become the opposite
invert,inverter; invertible,to turn something upside down
investigation,investigate; investigator; investigative; investigated; investigating,a careful search or examination
investment,invest; investor; invested; investing; invests,"use of money, time, or resources for future benefit"
invoked,invoke; invocation; invokable; invoking; invokes,"called on, referred to, or used as authority"
involved,involve; involvement; involving; involves,included or taking part; complicated
ion,ionization; ionic; ionized; ionizing; ionize,a charged atom
irrelevant,irrelevance; irrelevantly; irrelevancy,"not important, not related to the topic"
irrigation,irrigator; irrigational; irrigable; irrigated; irrigating,supplying land with water using pipes
isolated,isolate; isolation; isolating; isolator; isolates,separated from others
issues,issue; issuing; issuance; issuer; issuable,important topics or problems; editions
items,item; itemize; itemization; itemized; itemizing,individual things in a list or group
jazz,jazzed; jazzing; jazzes,a type of American music known for its energetic beat and parts that musicians make up as they go along
job,jobber; jobbed; jobbing; jobless,paid work or a task
journal,journalism; journalist; journalistic; journalize,an academic periodical or personal record
junior,juniority; juniors,someone lower in rank
justification,justifications; justificatory,a reason or fact that explains why something happens or exists
kidney,kidneys,an organ in the body that cleans the blood
kilometer,kilometers,a metric unit of length equal to 1000 meters
lab,labor; labial,laboratory; a place to do scientific experiments
label,labeler; labelled; labelling,a word or sign attached to identify something; to identify
labour,labor; labourer,"work, especially physical work; workers collectively"
lateral,laterality; laterally; lateralization,on the side; moving sideways
layer,layered; layering,a level or sheet of material
layout,layouts,"plan or design of something, e.g. of book page"
leaf,leafed; leafing; leafs; leafless,the green part of a tree or plant
lecture,lecturer; lecturing; lectured; lectureship,an educational talk
lecturer,lectured; lecturing; lectures,a junior teacher in university
legal,legality; legally; legalize,relating to law
legend,legendarily; legendary,"old story generally believed, although not proven"
legislation,legislate; legislative; legislator; legislated; legislating,laws or the process of making laws
legitimate,legitimization; legitimist; legitimism; legitimated; legitimized,being reasonable and sound
leisure,leisurely,time when you have no work to do and can relax
lever,levered; leveraging,a handle that one pulls to operate a machine
levy,levied; levies,to impose or collect a tax; a charge
lexical,lexicon; lexically,about words
liable,liability,legally responsible for something
liberal,liberalism; liberalize; liberally; liberation; liberalization,open to new ideas; politically progressive
licence,license; licensed; licensing; licensure; licenced,official permission
lifestyle,lifestyles,the type of life that you have
lifetime,lifetimes,the time between birth and death
likelihood,likeliness; likelier; likely,the chance that something might happen
likewise,,"in the same way, in addition to"
limb,limber; limbic; limbless,"leg, arm or wing"
linear,linearity; linearize,made of lines
linguistic,linguist; linguistically; linguists,belonging to language
linguistics,linguistic; linguist; linguistically; linguists,the study of human languages
link,linkage; linker,a connection; to connect
liter,liters; litre,metric unit for measuring liquid or gas
liver,livable; lived; living; lives,a large organ in the body that helps to absorb food and clean the blood
locally,location; localization; locality; localism; local,Concerning the area around where you are
location,locate; located; locational; locally; locator,a place or position
locus,locution,a place or location; in genetics: the location of a gene on a chromosome
logic,logical; logically; logician; logger; logged,a system of reasoning
logical,logic; logicalness; logicality; logger; logically,sensible; reasonable
longitudinal,longitude; longitudinally,going from the top to the bottom of something
loop,looped; looping; loops,a round shape
lump,lumped; lumping; lumps,"a small hard part of something smooth, soft, or continuous"
lung,lunged; lunging; lungs; lunges; lungful,an organ used to breathe
machinery,machine; mechanical; mechanically,machines in general
magnetic,magnetization; magnetism; magnetically; magnetized; magnetizing,"having the properties of a magnet, being able to attract."
magnitude,magnitudes,size or importance
maintenance,maintain; maintainer; maintainable,keeping something in good condition
major,majority; majorly,"important, large, or main"
mall,malls,a large shopping center with many individual stores
manipulate,manipulation; manipulative; manipulable; manipulated; manipulating,to control something or someone
manipulation,manipulate; manipulability; manipulator; manipulative; manipulable,the act of controlling something or someone
manual,manuals,needing the use of physical strength or work; a book of information or instructions
manuscript,manuscripts,"a document, a piece of writing"
marble,marbled; marbling; marbleize,a kind of stone; metamorphosed limestone
marginal,marginalization; marginality; margins; margin; marginalize,very small; on the edge; not important
marker,marked; marking; marks; mark,something that is easy to recognize or identify
marrow,marrows,"a soft, fatty tissue inside bones"
maternal,maternity; maternalist; maternalism,having to do with being a mother
mathematical,mathematic; mathematically; mathematics,concerning numbers and equations
matrix,matrixes,"a substance, situation, or environment in which something has its origin - in math: an arrangement of numbers in rows and columns"
mature,maturity; maturation; maturely; matureness; maturer,fully developed; behaving sensibly
maximize,maximization; maximal; maximized; maximizing; maxims,"to increase, or become as large or great as possible"
maximum,maximize; maximal; maximally,the greatest possible amount or degree
meaningful,meaningfulness; meaningfully; meaning; meanings; meaningless,Having importance; showing someone's intention
mechanic,mechanism; mechanical; mechanization; mechanist; mechanically,a person who looks after machinery
mechanical,mechanic; mechanism; mechanization; mechanist; mechanically,using or having to do with machines
mechanism,mechanical; mechanistic; mechanically; mechanic; mechanization,a process or device that makes something happen
media,mediation; medias,"means of communication (tv, newspapers, internet)"
mediate,medical; mediation; medial; medically; mediated,"to bring about an agreement between persons or groups, act as a helper"
mediation,mediate; mediator; mediated; media; medical,action of helping parties reach agreement
medical,medicine; medically; medication,relating to medicine or health
medium,media; mediate; mediation; mediator; mediumism,middle; a means of communication; a substance
membrane,membranal; membraneous,a thin covering of tissue.
memorize,memorization; memorial; memorable; memorably; memorized,to study something so that you remember it
mental,mentally; mentality; mentor; mention; mentation,relating to the mind
mentor,mental; mention; mentation; mentorship,an experienced or wise person who teaches or helps another person
mercury,mercuries,"a heavy, silver-white metal that is used in thermometers to measure temperature; a planet"
merge,merger; merged; merging,to cause two or more things to become combined into one
messenger,messengers,someone who delivers a messages
metabolism,metabolic; metabolically; metabolized; metabolizing; metabolize,the chemical processes of the body in which food is converted to energy
metaphor,metaphorical; metaphoric; metaphorically; metaph,a figure of speech based on analogy
method,methodical; methodology; methodological; methodically; methodic,a way of doing something
methodology,methodological; methodologies,system of practices or techniques to show how to do tasks
micro,microscopic; microscope; microbiology,"a prefix meaning 'very small', such as microchip"
mid,midship,at (or near) the middle point
migrate,migration; migrated; migrating; migrant; migratory,to move from place to another to live or work
migration,migrate; migrator; migrational; migrated; migrating,the process by which people or animals move to another place
military,militarily; militarize; militance; militantly; militaries,relating to armed forces
millimeter,millimeters,1/1000th of a meter
mineral,mineralization; miner; miners; mineralize,a substance naturally formed in the ground
minimal,minimize; minimised; minimization; minimality; minimalist,the smallest possible
minimised,minimize; minimization; minimum; minimal; minimized,reduced to the smallest possible amount
minimize,minimal; minimised; minimization; minimized; minimizing,to make something as small as possible
minimum,minimize; minimal; minimally,the smallest possible amount or degree
ministry,minister; ministerial; ministries,a government department; religious service or work
minorities,minority; minor; minorly; minored; minoring,groups smaller than the main population
minus,minuses,(prep) being less than zero in number
missile,missiles,"a weapon, usually thrown, shot or launched"
mobility,mobilization; mobilized; mobilizing; mobiles; mobil,the ability to move
mode,modal; modality; model,a way or manner; a setting
modification,modifications,"a small change to a machine, system, or plan"
modified,modify; modification; modifiable; modifier; modal,changed slightly
mole,molal; moles,a small animal with dark fur that lives under the ground; a unit for measuring molecules
molecular,molecularity,about or caused by molecules
molecule,molecules,two or more atoms chemically combined
momentum,momenta,speed or force that is gained when something moves
monetary,monetization; monetarily; monetized; monetizing; monet,"concerning money, often referring to a country's economic system"
monitoring,monitor; monitored; monition; monitorial; monitors,watching or checking over time
monkey,monkeyed; monkeying; monkeys,"an animal related to humans, which lives in trees"
monopoly,monopolies,complete control of the market for a service or product
morality,moralization; moralist; moralism; moral; moralized,beliefs or ideas about what is right and wrong
morphological,morphologist; morphologic,the study of form and structure
morphology,morphological,"the study of the forms and structures of plants, animals and words"
mortality,mortal; mortals,the quality or state of being human and being able to die
motif,motifs,"a distinctive form, shape or figure in a design"
motivation,motivate; motivated; motivational; motive; motivity,a reason or desire for action
motive,motivation; motivate; motivated,a reason for doing something
multi,,a prefix meaning 'more than one'
multinational,multinationals,involving many countries
multiply,multiped; multiplied; multiplies,to increase greatly in number
mutation,muteness; mutability; muter; mutter; mutism,a change; in genetics: any event that changes genetic structure
mutual,mutually; mutuality; mutualist; mutualism; mutualize,shared by two or more people
myth,mythical; mythic; mythify,a popular belief that is false or unsupported by fact
naked,nakedness; naker,not wearing any clothes; without covering
namely,nameable; named; naming; names; nameless,"that is to say, specifically"
nasty,nasion; nasser; nasal,"very bad, unpleasant, or offensive"
nationalism,nationalization; nationality; nationalist; national; nationalized,"The spirit of love of your country, e.g. leading to war"
neat,neatness; neater,Not messy; clean and orderly; simple and effective
necessity,necessarily; necessities; necessary,something that you must have or do
negative,negation; negatively; negate; negativeness; negated,not positive; harmful or denying
neo,,a prefix meaning 'recent' or 'new'
nest,nestor; nested; nesting; nests,the home of a bird or spider
network,networked; networking; networks,a connected system of people or things
neural,neuron; neurology; neurological,about the nerves or nervous system
neuron,neuronal; neurons,a nerve cell; the basic building block of the nervous system.
neutral,neutralization; neutrality; neutralist; neutralism; neutralized,not involved; without strong feeling; without electrical charge; not acidic or akaline
nevertheless,,despite that; however
nicely,niceness; nicer; nice; nicety,in a pleasing way; in a polite way
niche,niches,"a small area; a specialised business, job or activity"
nitrogen,nitrogenous; nitrogenize,a colorless chemical element without a smell that forms most of the earth's atmosphere
noble,nobleness; nobler,having personal qualities that people admire
node,nodal; nodes,an intersection or junction point in a network; a part on a plant where a new leaf grows
noisy,noise; noisily; noisiness,full of noise; loud
nominal,nomination; nominalist; nominalism; nominative,in name or thought but not reality
non,nonary,a prefix meaning 'not'
nonetheless,,"in spite of that, nevertheless"
nonlinear,nonlinearity,not in a line
norm,normal; normative,an established standard of performance or behavior
normal,normalize; normalization; normally; norm; norms,usual or expected
norms,norm; normal; normative,accepted standards of behavior
notation,notion; notification; notability; notational; notable,a set of written signs or shapes that are used in music or mathematics
notion,notional; notionally; notation; notification; notability,an idea or belief
notwithstanding,,despite
novice,novices,"a person with little or no experience in a particular activity, skill, or subject"
nuclear,nucleus; nucleate; nucleation,relating to atomic nuclei or nuclear energy
nucleus,nucleuses,control center of a cell
null,nullification; nullity; nullified; nullifying; nullify,having no impact
numerical,numeral; numeric; numerically,includes numbers
nutrient,nutrition; nutriment,"a chemical, food, that animals and plants need to live, develop, and be healthy"
objection,object; objective; objectionable,reason for not supporting or agreeing with a plan
objective,object; objectivity; objectively,a goal; unbiased
obscure,obscuration; obscureness; obscurer; obscured; obscuring,"not famous, unknown by most people; not easy to understand"
observer,observe; observation; observable,someone whose job it is to watch or notice things
obtain,obtainment; obtainable,To be given or to earn something through efforts
obtained,obtain; obtainable; obtaining; obtainment; obtains,got or acquired
obvious,obviously; obviousness,easy to see or understand
occupation,occupational; occupant; occupancy,a career or regular job
occupational,occupation; occupy; occupationally; occupations,relating to work or jobs
occur,occurrence; occurred; occurring,to happen
occurrence,occurred; occurring,specific instance of something happening
odd,oddment; oddness; oddity; odder,strange or unusual; not even
offset,offsetting; offsets,to balance or compensate for something
offspring,offsprings,the child of a person or the young of a plant or animal
ongoing,,continuing
onset,onsets,the beginning
onwards,onward,forward
optical,option; optic; optative; optically; opted,concerning vision or helping people see
optimal,optimization; optimality; optimist; optimism; optimized,best
